packet_number,length,bssid,ta,ra,fc_type_subtype,fc_type,data_rate,channel,frequency,phy,retry,short_gi,signal_strength,bandwidth,mcs_index,tsf_timestamp,timestamp_wireshark,timestamp_readable
1,80,88:d2:74:97:54:e0,96:f1:4f:6d:3a:90,88:d2:74:97:54:e0,0x0024,2,1,10,2457,4,True,False,-80,,,,1742818033.1497777,2025-03-24 14:07:13.149778
2,321,e0:b6:68:2a:78:df,e0:b6:68:2a:78:df,ff:ff:ff:ff:ff:ff,0x0008,0,1,11,2462,4,False,False,-86,,,2644943872451,1742818033.269904,2025-03-24 14:07:13.269904
3,302,88:d2:74:97:54:e0,88:d2:74:97:54:e0,ff:ff:ff:ff:ff:ff,0x0008,0,1,11,2462,4,False,False,-86,,,995963699596,1742818033.321021,2025-03-24 14:07:13.321021
4,321,e0:b6:68:2a:78:df,e0:b6:68:2a:78:df,ff:ff:ff:ff:ff:ff,0x0008,0,1,11,2462,4,False,False,-86,,,2644943974824,1742818033.3722508,2025-03-24 14:07:13.372251
5,302,88:d2:74:97:54:e0,88:d2:74:97:54:e0,ff:ff:ff:ff:ff:ff,0x0008,0,1,11,2462,4,False,False,-84,,,995963802032,1742818033.4234908,2025-03-24 14:07:13.423491
6,321,e0:b6:68:2a:78:df,e0:b6:68:2a:78:df,ff:ff:ff:ff:ff:ff,0x0008,0,1,11,2462,4,False,False,-87,,,2644944077197,1742818033.4746451,2025-03-24 14:07:13.474645
7,321,e0:b6:68:2a:78:df,e0:b6:68:2a:78:df,ff:ff:ff:ff:ff:ff,0x0008,0,1,12,2467,4,False,False,-88,,,2644944179619,1742818033.5770419,2025-03-24 14:07:13.577042
8,72,,06:09:51:6a:a9:b3,34:36:54:d4:79:03,0x001b,1,24,1,2412,6,False,False,-73,,,,1742818034.3126302,2025-03-24 14:07:14.312630
9,66,,,06:09:51:6a:a9:b3,0x001c,1,24,1,2412,6,False,False,-30,,,,1742818034.3126495,2025-03-24 14:07:14.312649
10,84,,34:36:54:d4:79:03,06:09:51:6a:a9:b3,0x0019,1,24,1,2412,6,False,False,-31,,,,1742818034.3129938,2025-03-24 14:07:14.312994
11,66,,,06:09:51:6a:a9:b3,0x001d,1,24,1,2412,6,False,False,-31,,,,1742818034.3131273,2025-03-24 14:07:14.313127
12,72,,06:09:51:6a:a9:b3,34:36:54:d4:79:03,0x001b,1,24,1,2412,6,False,False,-72,,,,1742818034.3143392,2025-03-24 14:07:14.314339
13,66,,,06:09:51:6a:a9:b3,0x001c,1,24,1,2412,6,False,False,-31,,,,1742818034.3143585,2025-03-24 14:07:14.314358
14,84,,34:36:54:d4:79:03,06:09:51:6a:a9:b3,0x0019,1,24,1,2412,6,False,False,-31,,,,1742818034.3157191,2025-03-24 14:07:14.315719
15,76,,34:36:54:d4:79:03,06:09:51:6a:a9:b3,0x0018,1,1,1,2412,4,False,False,-28,,,,1742818034.3293006,2025-03-24 14:07:14.329301
16,84,,06:09:51:6a:a9:b3,34:36:54:d4:79:03,0x0019,1,1,1,2412,4,False,False,-75,,,,1742818034.3294833,2025-03-24 14:07:14.329483
17,354,34:36:54:d4:79:03,34:36:54:d4:79:03,ff:ff:ff:ff:ff:ff,0x0008,0,1,1,2412,4,False,False,-28,,,2385057280659,1742818034.3323202,2025-03-24 14:07:14.332320
18,76,,34:36:54:d4:79:03,06:09:51:6a:a9:b3,0x0018,1,1,1,2412,4,False,False,-29,,,,1742818034.332577,2025-03-24 14:07:14.332577
19,84,,06:09:51:6a:a9:b3,34:36:54:d4:79:03,0x0019,1,1,1,2412,4,False,False,-75,,,,1742818034.3332734,2025-03-24 14:07:14.333273
20,80,34:36:54:d4:79:03,06:09:51:6a:a9:b3,34:36:54:d4:79:03,0x0024,2,24,1,2412,6,False,False,-72,,,,1742818034.333295,2025-03-24 14:07:14.333295
21,66,,,06:09:51:6a:a9:b3,0x001d,1,24,1,2412,6,False,False,-31,,,,1742818034.3333025,2025-03-24 14:07:14.333302
22,66,,,06:09:51:6a:a9:b3,0x001d,1,24,1,2412,6,False,False,-31,,,,1742818034.3333054,2025-03-24 14:07:14.333305
23,72,,06:09:51:6a:a9:b3,34:36:54:d4:79:03,0x001b,1,24,1,2412,6,False,False,-72,,,,1742818034.3333104,2025-03-24 14:07:14.333310
24,66,,,06:09:51:6a:a9:b3,0x001c,1,24,1,2412,6,False,False,-30,,,,1742818034.3333724,2025-03-24 14:07:14.333372
25,84,,34:36:54:d4:79:03,06:09:51:6a:a9:b3,0x0019,1,24,1,2412,6,False,False,-30,,,,1742818034.334286,2025-03-24 14:07:14.334286
26,84,,34:36:54:d4:79:03,06:09:51:6a:a9:b3,0x0019,1,24,1,2412,6,False,False,-30,,,,1742818034.3363035,2025-03-24 14:07:14.336303
27,72,,34:36:54:d4:79:03,06:09:51:6a:a9:b3,0x001b,1,24,1,2412,6,False,False,-30,,,,1742818034.3363225,2025-03-24 14:07:14.336323
28,66,,,34:36:54:d4:79:03,0x001c,1,24,1,2412,6,False,False,-73,,,,1742818034.3363254,2025-03-24 14:07:14.336325
29,1128,34:36:54:d4:79:03,34:36:54:d4:79:03,06:09:51:6a:a9:b3,0x0028,2,65,1,2412,7,False,False,-32,,7,,1742818034.3365283,2025-03-24 14:07:14.336528
30,1126,34:36:54:d4:79:03,34:36:54:d4:79:03,06:09:51:6a:a9:b3,0x0028,2,65,1,2412,7,False,False,-32,,7,,1742818034.336708,2025-03-24 14:07:14.336708
31,1126,34:36:54:d4:79:03,34:36:54:d4:79:03,06:09:51:6a:a9:b3,0x0028,2,65,1,2412,7,False,False,-32,,7,,1742818034.3367796,2025-03-24 14:07:14.336780
32,1126,34:36:54:d4:79:03,34:36:54:d4:79:03,06:09:51:6a:a9:b3,0x0028,2,65,1,2412,7,False,False,-32,,7,,1742818034.3369694,2025-03-24 14:07:14.336969
33,1125,34:36:54:d4:79:03,34:36:54:d4:79:03,06:09:51:6a:a9:b3,0x0028,2,65,1,2412,7,False,False,-32,,7,,1742818034.3370495,2025-03-24 14:07:14.337049
34,1130,34:36:54:d4:79:03,34:36:54:d4:79:03,06:09:51:6a:a9:b3,0x0028,2,65,1,2412,7,False,False,-32,,7,,1742818034.3372037,2025-03-24 14:07:14.337204
35,1130,34:36:54:d4:79:03,34:36:54:d4:79:03,06:09:51:6a:a9:b3,0x0028,2,65,1,2412,7,False,False,-32,,7,,1742818034.3373475,2025-03-24 14:07:14.337348
36,1130,34:36:54:d4:79:03,34:36:54:d4:79:03,06:09:51:6a:a9:b3,0x0028,2,65,1,2412,7,False,False,-32,,7,,1742818034.3374531,2025-03-24 14:07:14.337453
37,1130,34:36:54:d4:79:03,34:36:54:d4:79:03,06:09:51:6a:a9:b3,0x0028,2,65,1,2412,7,False,False,-32,,7,,1742818034.337596,2025-03-24 14:07:14.337596
38,223,34:36:54:d4:79:03,34:36:54:d4:79:03,06:09:51:6a:a9:b3,0x0028,2,65,1,2412,7,False,False,-32,,7,,1742818034.3376036,2025-03-24 14:07:14.337604
39,473,34:36:54:d4:79:03,34:36:54:d4:79:03,06:09:51:6a:a9:b3,0x0028,2,65,1,2412,7,False,False,-32,,7,,1742818034.3376117,2025-03-24 14:07:14.337612
40,475,34:36:54:d4:79:03,34:36:54:d4:79:03,06:09:51:6a:a9:b3,0x0028,2,65,1,2412,7,False,False,-32,,7,,1742818034.3377013,2025-03-24 14:07:14.337701
41,475,34:36:54:d4:79:03,34:36:54:d4:79:03,06:09:51:6a:a9:b3,0x0028,2,65,1,2412,7,False,False,-32,,7,,1742818034.3377154,2025-03-24 14:07:14.337715
42,475,34:36:54:d4:79:03,34:36:54:d4:79:03,06:09:51:6a:a9:b3,0x0028,2,65,1,2412,7,False,False,-32,,7,,1742818034.3378386,2025-03-24 14:07:14.337839
43,470,34:36:54:d4:79:03,34:36:54:d4:79:03,06:09:51:6a:a9:b3,0x0028,2,65,1,2412,7,False,False,-32,,7,,1742818034.3378484,2025-03-24 14:07:14.337848
44,479,34:36:54:d4:79:03,34:36:54:d4:79:03,06:09:51:6a:a9:b3,0x0028,2,65,1,2412,7,False,False,-32,,7,,1742818034.337864,2025-03-24 14:07:14.337864
45,479,34:36:54:d4:79:03,34:36:54:d4:79:03,06:09:51:6a:a9:b3,0x0028,2,65,1,2412,7,False,False,-32,,7,,1742818034.3379853,2025-03-24 14:07:14.337985
46,479,34:36:54:d4:79:03,34:36:54:d4:79:03,06:09:51:6a:a9:b3,0x0028,2,65,1,2412,7,False,False,-32,,7,,1742818034.3380024,2025-03-24 14:07:14.338002
47,479,34:36:54:d4:79:03,34:36:54:d4:79:03,06:09:51:6a:a9:b3,0x0028,2,65,1,2412,7,False,False,-32,,7,,1742818034.3380206,2025-03-24 14:07:14.338021
48,211,34:36:54:d4:79:03,34:36:54:d4:79:03,06:09:51:6a:a9:b3,0x0028,2,65,1,2412,7,False,False,-32,,7,,1742818034.3380637,2025-03-24 14:07:14.338064
49,838,34:36:54:d4:79:03,34:36:54:d4:79:03,06:09:51:6a:a9:b3,0x0028,2,65,1,2412,7,False,False,-32,,7,,1742818034.3381953,2025-03-24 14:07:14.338195
50,84,,06:09:51:6a:a9:b3,34:36:54:d4:79:03,0x0019,1,24,1,2412,6,False,False,-73,,,,1742818034.338207,2025-03-24 14:07:14.338207
51,72,,34:36:54:d4:79:03,06:09:51:6a:a9:b3,0x001b,1,24,1,2412,6,False,False,-30,,,,1742818034.3383296,2025-03-24 14:07:14.338330
52,66,,,34:36:54:d4:79:03,0x001c,1,24,1,2412,6,False,False,-73,,,,1742818034.3383396,2025-03-24 14:07:14.338340
53,840,34:36:54:d4:79:03,34:36:54:d4:79:03,06:09:51:6a:a9:b3,0x0028,2,65,1,2412,7,False,False,-33,,7,,1742818034.3385253,2025-03-24 14:07:14.338525
54,840,34:36:54:d4:79:03,34:36:54:d4:79:03,06:09:51:6a:a9:b3,0x0028,2,65,1,2412,7,False,False,-33,,7,,1742818034.3385882,2025-03-24 14:07:14.338588
55,840,34:36:54:d4:79:03,34:36:54:d4:79:03,06:09:51:6a:a9:b3,0x0028,2,65,1,2412,7,False,False,-33,,7,,1742818034.3387244,2025-03-24 14:07:14.338724
56,839,34:36:54:d4:79:03,34:36:54:d4:79:03,06:09:51:6a:a9:b3,0x0028,2,65,1,2412,7,False,False,-33,,7,,1742818034.3387804,2025-03-24 14:07:14.338780
57,84,,06:09:51:6a:a9:b3,34:36:54:d4:79:03,0x0019,1,24,1,2412,6,False,False,-72,,,,1742818034.3388183,2025-03-24 14:07:14.338818
58,66,,,34:36:54:d4:79:03,0x001c,1,24,1,2412,6,False,False,-31,,,,1742818034.3399174,2025-03-24 14:07:14.339917
59,844,34:36:54:d4:79:03,34:36:54:d4:79:03,06:09:51:6a:a9:b3,0x0028,2,65,1,2412,7,False,False,-33,,7,,1742818034.3399386,2025-03-24 14:07:14.339939
60,84,,06:09:51:6a:a9:b3,34:36:54:d4:79:03,0x0019,1,24,1,2412,6,False,False,-72,,,,1742818034.3399448,2025-03-24 14:07:14.339945
61,66,,,34:36:54:d4:79:03,0x001c,1,24,1,2412,6,False,False,-30,,,,1742818034.3430712,2025-03-24 14:07:14.343071
62,844,34:36:54:d4:79:03,34:36:54:d4:79:03,06:09:51:6a:a9:b3,0x0028,2,65,1,2412,7,False,False,-33,,7,,1742818034.343095,2025-03-24 14:07:14.343095
63,84,,06:09:51:6a:a9:b3,34:36:54:d4:79:03,0x0019,1,24,1,2412,6,False,False,-72,,,,1742818034.3431036,2025-03-24 14:07:14.343104
64,66,,,34:36:54:d4:79:03,0x001c,1,24,1,2412,6,False,False,-30,,,,1742818034.3475409,2025-03-24 14:07:14.347541
65,844,34:36:54:d4:79:03,34:36:54:d4:79:03,06:09:51:6a:a9:b3,0x0028,2,65,1,2412,7,False,False,-33,,7,,1742818034.3475657,2025-03-24 14:07:14.347566
66,84,,06:09:51:6a:a9:b3,34:36:54:d4:79:03,0x0019,1,24,1,2412,6,False,False,-73,,,,1742818034.3475738,2025-03-24 14:07:14.347574
67,72,,06:09:51:6a:a9:b3,34:36:54:d4:79:03,0x001b,1,24,1,2412,6,False,False,-73,,,,1742818034.3531897,2025-03-24 14:07:14.353190
68,66,,,06:09:51:6a:a9:b3,0x001c,1,24,1,2412,6,False,False,-31,,,,1742818034.3532066,2025-03-24 14:07:14.353207
69,66,,,06:09:51:6a:a9:b3,0x001d,1,24,1,2412,6,False,False,-31,,,,1742818034.3532093,2025-03-24 14:07:14.353209
70,66,,,34:36:54:d4:79:03,0x001c,1,24,1,2412,6,False,False,-30,,,,1742818034.3582962,2025-03-24 14:07:14.358296
71,844,34:36:54:d4:79:03,34:36:54:d4:79:03,06:09:51:6a:a9:b3,0x0028,2,65,1,2412,7,False,False,-33,,7,,1742818034.3583179,2025-03-24 14:07:14.358318
72,84,,06:09:51:6a:a9:b3,34:36:54:d4:79:03,0x0019,1,24,1,2412,6,False,False,-72,,,,1742818034.3583252,2025-03-24 14:07:14.358325
73,66,,,34:36:54:d4:79:03,0x001c,1,24,1,2412,6,False,False,-31,,,,1742818034.358398,2025-03-24 14:07:14.358398
74,208,34:36:54:d4:79:03,34:36:54:d4:79:03,06:09:51:6a:a9:b3,0x0028,2,65,1,2412,7,False,False,-33,,7,,1742818034.3584685,2025-03-24 14:07:14.358469
