packet_number,length,bssid,ta,ra,fc_type_subtype,fc_type,data_rate,channel,frequency,phy,retry,short_gi,signal_strength,bandwidth,mcs_index,tsf_timestamp,timestamp_wireshark,timestamp_readable
1,66,,,60:ce:86:04:ac:94,0x001d,1,1,1,2412,4,False,False,-89,,,,1742833056.044024,2025-03-24 18:17:36.044024
2,354,34:36:54:d4:79:03,34:36:54:d4:79:03,ff:ff:ff:ff:ff:ff,0x0008,0,1,1,2412,4,False,False,-26,,,2400079053223,1742833056.100207,2025-03-24 18:17:36.100207
3,269,12:f4:f0:24:b1:92,12:f4:f0:24:b1:92,ff:ff:ff:ff:ff:ff,0x0008,0,1,1,2412,4,False,False,-86,,,4242637201,1742833056.132533,2025-03-24 18:17:36.132533
4,354,34:36:54:d4:79:03,34:36:54:d4:79:03,ff:ff:ff:ff:ff:ff,0x0008,0,1,1,2412,4,False,False,-24,,,2400079155602,1742833056.202812,2025-03-24 18:17:36.202812
5,80,34:36:54:d4:79:03,06:09:51:6a:a9:b3,34:36:54:d4:79:03,0x0024,2,24,1,2412,6,False,False,-76,,,,1742833056.211253,2025-03-24 18:17:36.211253
6,66,,,06:09:51:6a:a9:b3,0x001d,1,24,1,2412,6,False,False,-27,,,,1742833056.211275,2025-03-24 18:17:36.211275
7,76,,34:36:54:d4:79:03,06:09:51:6a:a9:b3,0x0018,1,1,1,2412,4,False,False,-23,,,,1742833056.211444,2025-03-24 18:17:36.211444
8,84,,06:09:51:6a:a9:b3,34:36:54:d4:79:03,0x0019,1,1,1,2412,4,False,False,-81,,,,1742833056.211907,2025-03-24 18:17:36.211907
9,76,,34:36:54:d4:79:03,06:09:51:6a:a9:b3,0x0018,1,1,1,2412,4,False,False,-26,,,,1742833056.212332,2025-03-24 18:17:36.212332
10,84,,06:09:51:6a:a9:b3,34:36:54:d4:79:03,0x0019,1,1,1,2412,4,False,False,-81,,,,1742833056.213067,2025-03-24 18:17:36.213067
11,76,,34:36:54:d4:79:03,06:09:51:6a:a9:b3,0x0018,1,1,1,2412,4,False,False,-26,,,,1742833056.214309,2025-03-24 18:17:36.214309
12,66,,,34:36:54:d4:79:03,0x001c,1,24,1,2412,6,False,False,-27,,,,1742833056.216378,2025-03-24 18:17:36.216378
13,203,34:36:54:d4:79:03,34:36:54:d4:79:03,06:09:51:6a:a9:b3,0x0028,2,65,1,2412,7,False,False,-37,,7,,1742833056.216398,2025-03-24 18:17:36.216398
14,66,,,34:36:54:d4:79:03,0x001c,1,24,1,2412,6,False,False,-27,,,,1742833056.216405,2025-03-24 18:17:36.216405
15,203,34:36:54:d4:79:03,34:36:54:d4:79:03,06:09:51:6a:a9:b3,0x0028,2,65,1,2412,7,True,False,-37,,7,,1742833056.21641,2025-03-24 18:17:36.216410
16,84,,06:09:51:6a:a9:b3,34:36:54:d4:79:03,0x0019,1,24,1,2412,6,False,False,-70,,,,1742833056.216452,2025-03-24 18:17:36.216452
17,80,34:36:54:d4:79:03,06:09:51:6a:a9:b3,34:36:54:d4:79:03,0x0024,2,24,1,2412,6,False,False,-71,,,,1742833056.23279,2025-03-24 18:17:36.232790
18,66,,,06:09:51:6a:a9:b3,0x001d,1,24,1,2412,6,False,False,-28,,,,1742833056.232815,2025-03-24 18:17:36.232815
19,269,12:f4:f0:24:b1:92,12:f4:f0:24:b1:92,ff:ff:ff:ff:ff:ff,0x0008,0,1,1,2412,4,False,False,-87,,,4242739599,1742833056.235226,2025-03-24 18:17:36.235226
20,354,34:36:54:d4:79:03,34:36:54:d4:79:03,ff:ff:ff:ff:ff:ff,0x0008,0,1,1,2412,4,False,False,-26,,,2400079258018,1742833056.30521,2025-03-24 18:17:36.305210
21,269,12:f4:f0:24:b1:92,12:f4:f0:24:b1:92,ff:ff:ff:ff:ff:ff,0x0008,0,1,1,2412,4,False,False,-86,,,4242842251,1742833056.337758,2025-03-24 18:17:36.337758
22,354,34:36:54:d4:79:03,34:36:54:d4:79:03,ff:ff:ff:ff:ff:ff,0x0008,0,1,1,2412,4,False,False,-26,,,2400079360419,1742833056.407478,2025-03-24 18:17:36.407478
23,354,34:36:54:d4:79:03,34:36:54:d4:79:03,ff:ff:ff:ff:ff:ff,0x0008,0,1,1,2412,4,False,False,-26,,,2400079466762,1742833056.514048,2025-03-24 18:17:36.514048
24,134,12:f4:f0:24:b1:92,12:f4:f0:24:b1:92,26:29:06:53:94:66,0x0028,2,1,1,2412,4,False,False,-88,,,,1742833056.570832,2025-03-24 18:17:36.570832
25,66,,,26:29:06:53:94:66,0x001d,1,1,1,2412,4,False,False,-87,,,,1742833056.574544,2025-03-24 18:17:36.574544
26,66,,,26:29:06:53:94:66,0x001d,1,1,1,2412,4,False,False,-87,,,,1742833056.576354,2025-03-24 18:17:36.576354
27,354,34:36:54:d4:79:03,34:36:54:d4:79:03,ff:ff:ff:ff:ff:ff,0x0008,0,1,1,2412,4,False,False,-26,,,2400079565194,1742833056.612252,2025-03-24 18:17:36.612252
28,269,12:f4:f0:24:b1:92,12:f4:f0:24:b1:92,ff:ff:ff:ff:ff:ff,0x0008,0,1,1,2412,4,False,False,-88,,,4243150010,1742833056.645664,2025-03-24 18:17:36.645664
29,354,34:36:54:d4:79:03,34:36:54:d4:79:03,ff:ff:ff:ff:ff:ff,0x0008,0,1,1,2412,4,False,False,-27,,,2400079667627,1742833056.714922,2025-03-24 18:17:36.714922
