packet_number,length,bssid,ta,ra,fc_type_subtype,fc_type,data_rate,channel,frequency,phy,retry,short_gi,signal_strength,bandwidth,mcs_index,tsf_timestamp,timestamp_wireshark,timestamp_readable
1,322,d8:21:da:86:f5:af,d8:21:da:86:f5:af,ff:ff:ff:ff:ff:ff,0x0008,0,6,100,5500,5,False,False,-67,,,1052300902437,1743180716.483383,2025-03-28 18:51:56.483383
2,413,d8:21:da:86:f5:ae,d8:21:da:86:f5:ae,ff:ff:ff:ff:ff:ff,0x0008,0,6,100,5500,5,False,False,-68,,,1052301004837,1743180716.534709,2025-03-28 18:51:56.534709
3,399,26:b1:b5:86:71:aa,26:b1:b5:86:71:aa,ff:ff:ff:ff:ff:ff,0x0008,0,6,100,5500,5,False,False,-86,,,6674225254579,1743180716.5551558,2025-03-28 18:51:56.555156
4,322,d8:21:da:86:f5:af,d8:21:da:86:f5:af,ff:ff:ff:ff:ff:ff,0x0008,0,6,100,5500,5,False,False,-68,,,1052301004837,1743180716.585777,2025-03-28 18:51:56.585777
5,413,d8:21:da:86:f5:ae,d8:21:da:86:f5:ae,ff:ff:ff:ff:ff:ff,0x0008,0,6,100,5500,5,False,False,-67,,,1052301107237,1743180716.6370735,2025-03-28 18:51:56.637074
6,399,26:b1:b5:86:71:aa,26:b1:b5:86:71:aa,ff:ff:ff:ff:ff:ff,0x0008,0,6,100,5500,5,False,False,-87,,,6674225356806,1743180716.6573591,2025-03-28 18:51:56.657359
7,322,d8:21:da:86:f5:af,d8:21:da:86:f5:af,ff:ff:ff:ff:ff:ff,0x0008,0,6,100,5500,5,False,False,-68,,,1052301107237,1743180716.6886322,2025-03-28 18:51:56.688632
8,413,d8:21:da:86:f5:ae,d8:21:da:86:f5:ae,ff:ff:ff:ff:ff:ff,0x0008,0,6,100,5500,5,False,False,-68,,,1052301209637,1743180716.7395172,2025-03-28 18:51:56.739517
9,399,26:b1:b5:86:71:aa,26:b1:b5:86:71:aa,ff:ff:ff:ff:ff:ff,0x0008,0,6,100,5500,5,False,False,-85,,,6674225459211,1743180716.759799,2025-03-28 18:51:56.759799
10,322,d8:21:da:86:f5:af,d8:21:da:86:f5:af,ff:ff:ff:ff:ff:ff,0x0008,0,6,100,5500,5,False,False,-68,,,1052301209637,1743180716.7906187,2025-03-28 18:51:56.790619
11,72,,30:b1:b5:86:71:aa,70:97:41:04:3c:45,0x001b,1,6,100,5500,5,False,False,-91,,,,1743180716.837429,2025-03-28 18:51:56.837429
12,84,,30:b1:b5:86:71:aa,70:97:41:04:3c:45,0x0019,1,24,100,5500,5,False,False,-86,,,,1743180716.8380246,2025-03-28 18:51:56.838025
13,413,d8:21:da:86:f5:ae,d8:21:da:86:f5:ae,ff:ff:ff:ff:ff:ff,0x0008,0,6,100,5500,5,False,False,-68,,,1052301312037,1743180716.8421528,2025-03-28 18:51:56.842153
14,399,26:b1:b5:86:71:aa,26:b1:b5:86:71:aa,ff:ff:ff:ff:ff:ff,0x0008,0,6,100,5500,5,False,False,-86,,,6674225561604,1743180716.8626325,2025-03-28 18:51:56.862633
15,72,,30:b1:b5:86:71:aa,70:97:41:04:3c:45,0x001b,1,6,100,5500,5,False,False,-91,,,,1743180716.8635733,2025-03-28 18:51:56.863573
16,84,,30:b1:b5:86:71:aa,70:97:41:04:3c:45,0x0019,1,24,100,5500,5,False,False,-86,,,,1743180716.8641462,2025-03-28 18:51:56.864146
17,72,,30:b1:b5:86:71:aa,70:97:41:04:3c:45,0x001b,1,6,100,5500,5,False,False,-91,,,,1743180716.869125,2025-03-28 18:51:56.869125
